id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-07-25 12:32:30,"{""short_code"":""T8tKzd"",""original_url"":""https://relay.cloud/calm/window/1""}"
2,2,75,created,2025-05-09 21:59:26,"{""short_code"":""t51lEE"",""original_url"":""https://hackstack.io/harbor/delta/2""}"
3,3,61,created,2026-01-13 00:38:04,"{""short_code"":""yz1TML"",""original_url"":""https://acme.dev/jade/beacon/3""}"
4,4,189,created,2025-04-04 15:00:43,"{""short_code"":""6SE2Fy"",""original_url"":""https://hackstack.io/harbor/yard/4""}"
5,5,59,created,2026-01-31 17:18:01,"{""short_code"":""TFRf1Z"",""original_url"":""https://example.com/warm/orbit/5""}"
6,6,254,created,2026-02-06 06:38:13,"{""short_code"":""hl8Sol"",""original_url"":""https://opswise.net/clear/harvest/6""}"
7,7,235,created,2025-07-22 21:32:01,"{""short_code"":""l1nkRD"",""original_url"":""https://opswise.net/gold/pioneer/7""}"
8,8,197,created,2025-05-21 00:25:09,"{""short_code"":""w8iG9p"",""original_url"":""https://relay.cloud/tidy/lagoon/8""}"
9,9,271,created,2025-10-24 09:04:00,"{""short_code"":""Btxs06"",""original_url"":""https://opswise.net/quiet/river/9""}"
10,10,282,created,2025-06-26 12:34:05,"{""short_code"":""wmrCYi"",""original_url"":""https://hackstack.io/navy/uplink/10""}"
11,11,136,created,2025-01-03 16:59:24,"{""short_code"":""kXb1mx"",""original_url"":""https://opswise.net/dawn/quartz/11""}"
12,12,183,created,2025-06-14 11:30:00,"{""short_code"":""iJjJb5"",""original_url"":""https://hackstack.io/proud/window/12""}"
13,13,329,created,2025-02-08 06:22:37,"{""short_code"":""DPLBOj"",""original_url"":""https://relay.cloud/ivory/kernel/13""}"
14,14,256,created,2025-04-02 20:04:09,"{""short_code"":""khb8NC"",""original_url"":""https://relay.cloud/jade/window/14""}"
15,15,243,created,2025-07-14 11:04:06,"{""short_code"":""4g2KpF"",""original_url"":""https://seeded.app/dawn/canyon/15""}"
16,16,305,created,2025-11-21 11:24:26,"{""short_code"":""0eEvO6"",""original_url"":""https://seeded.app/tidy/lagoon/16""}"
17,17,227,created,2025-10-29 01:41:43,"{""short_code"":""qQM4d8"",""original_url"":""https://seeded.app/jade/quartz/17""}"
18,18,268,created,2025-08-18 07:28:00,"{""short_code"":""olT5zZ"",""original_url"":""https://hackstack.io/lively/network/18""}"
19,19,157,created,2025-11-02 04:39:06,"{""short_code"":""C2qdIY"",""original_url"":""https://acme.dev/harbor/canyon/19""}"
20,20,71,created,2025-03-21 15:07:54,"{""short_code"":""1w1kXB"",""original_url"":""https://relay.cloud/cobalt/garden/20""}"
21,21,92,created,2025-08-08 11:41:50,"{""short_code"":""Jh90mP"",""original_url"":""https://example.com/navy/kernel/21""}"
22,22,255,created,2025-11-30 04:51:27,"{""short_code"":""6DzeQf"",""original_url"":""https://example.com/dawn/engine/22""}"
23,23,348,created,2025-04-18 06:15:41,"{""short_code"":""jry6Wg"",""original_url"":""https://acme.dev/ivory/river/23""}"
