id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,T8tKzd,https://relay.cloud/calm/window/1,Roadmap update network,True,2025-07-25 12:32:30,2026-01-23 06:39:26
2,75,t51lEE,https://hackstack.io/harbor/delta/2,Ops review journey,True,2025-05-09 21:59:26,2025-09-21 20:38:43
3,61,yz1TML,https://acme.dev/jade/beacon/3,Demo link anchor,True,2026-01-13 00:38:04,2026-01-28 07:08:37
4,189,6SE2Fy,https://hackstack.io/harbor/yard/4,Campaign page engine,True,2025-04-04 15:00:43,2025-07-12 13:51:54
5,59,TFRf1Z,https://example.com/warm/orbit/5,Ops review anchor,True,2026-01-31 17:18:01,2026-02-14 22:22:12
6,254,hl8Sol,https://opswise.net/clear/harvest/6,Quarterly brief anchor,True,2026-02-06 06:38:13,2026-02-15 09:06:29
7,235,l1nkRD,https://opswise.net/gold/pioneer/7,Service guide beacon,True,2025-07-22 21:32:01,2025-10-29 03:37:05
8,197,w8iG9p,https://relay.cloud/tidy/lagoon/8,Incident notes river,True,2025-05-21 00:25:09,2025-09-12 12:53:54
9,271,Btxs06,https://opswise.net/quiet/river/9,Alert feed harvest,True,2025-10-24 09:04:00,2025-11-23 22:06:49
10,282,wmrCYi,https://hackstack.io/navy/uplink/10,Quarterly brief trail,False,2025-06-26 12:34:05,2025-11-19 06:32:49
11,136,kXb1mx,https://opswise.net/dawn/quartz/11,Alert feed river,False,2025-01-03 16:59:24,2025-11-19 23:39:46
12,183,iJjJb5,https://hackstack.io/proud/window/12,Quarterly brief delta,False,2025-06-14 11:30:00,2025-07-31 02:31:54
13,329,DPLBOj,https://relay.cloud/ivory/kernel/13,Launch deck network,True,2025-02-08 06:22:37,2026-02-14 12:08:42
14,256,khb8NC,https://relay.cloud/jade/window/14,Roadmap update kernel,True,2025-04-02 20:04:09,2025-07-29 05:43:05
15,243,4g2KpF,https://seeded.app/dawn/canyon/15,Launch deck canyon,True,2025-07-14 11:04:06,2025-08-21 16:03:36
